index,data,quantidade,LAG1,LAG2,day_of_week,weekday_0,weekday_1,weekday_2,weekday_3,weekday_4,weekday_5,weekday_6,mes,mes_1,mes_2,mes_3,mes_4,mes_5,mes_6,mes_7,mes_8,mes_9,mes_10,mes_11,mes_12,trimestre,feriado
78,2022-01-19,165,600.0,657.0,2,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2022Q1,0
79,2022-01-19,522,6030.0,165.0,2,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2022Q1,0
80,2022-01-19,657,108.0,4695.0,2,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2022Q1,0
81,2022-01-19,108,4695.0,1500.0,2,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2022Q1,0
82,2022-01-19,600,657.0,108.0,2,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2022Q1,0
83,2022-01-20,600,522.0,6030.0,3,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2022Q1,0
84,2022-01-20,105,600.0,522.0,3,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2022Q1,0
85,2022-01-20,1470,105.0,600.0,3,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2022Q1,0
86,2022-01-20,1065,1470.0,105.0,3,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2022Q1,0
87,2022-01-20,300,1065.0,1470.0,3,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2022Q1,0
88,2022-01-20,1860,300.0,1065.0,3,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2022Q1,0
89,2022-01-20,90,1860.0,300.0,3,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2022Q1,0
90,2022-01-20,165,90.0,1860.0,3,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2022Q1,0
92,2022-01-21,1170,6108.0,1401.0,4,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2022Q1,0
91,2022-01-21,3000,1170.0,6108.0,4,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2022Q1,0
94,2022-01-21,6108,1401.0,1074.0,4,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2022Q1,0
95,2022-01-21,1074,1500.0,45.0,4,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2022Q1,0
93,2022-01-21,1401,1074.0,1500.0,4,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2022Q1,0
97,2022-01-21,1500,45.0,165.0,4,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2022Q1,0
96,2022-01-21,45,165.0,90.0,4,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2022Q1,0
98,2022-01-24,1620,3000.0,1170.0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2022Q1,0
99,2022-01-24,6465,1620.0,3000.0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2022Q1,0
100,2022-01-24,2970,6465.0,1620.0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2022Q1,0
101,2022-01-24,4182,2970.0,6465.0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2022Q1,0
102,2022-01-25,6936,3720.0,375.0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2022Q1,0
103,2022-01-25,3720,375.0,570.0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2022Q1,0
104,2022-01-25,375,570.0,600.0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2022Q1,0
105,2022-01-25,570,600.0,12000.0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2022Q1,0
106,2022-01-25,600,12000.0,1281.0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2022Q1,0
107,2022-01-25,12000,1281.0,501.0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2022Q1,0
108,2022-01-25,1281,501.0,900.0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2022Q1,0
109,2022-01-25,501,900.0,4182.0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2022Q1,0
110,2022-01-25,900,4182.0,2970.0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2022Q1,0
111,2022-01-26,1560,6936.0,3720.0,2,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2022Q1,0
112,2022-01-26,3600,1560.0,6936.0,2,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2022Q1,0
113,2022-01-26,1635,3600.0,1560.0,2,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2022Q1,0
114,2022-01-26,630,1635.0,3600.0,2,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2022Q1,0
117,2022-01-26,270,9357.0,630.0,2,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2022Q1,0
